ages.i,tjja.central.degC,tjja+1sigma,tjja-1sigma,tdjf.Central.degC,tdjf+1sigma,tdjf-1sigma,tjja.GradientDifference.degC,tdjf.GradientDifference.degC
10250,18.45679974,18.93227144,17.98132804,-5.01782206,-4.542350362,-5.493293758,0.475851101,1.779363327
10300,18.42080345,18.89627515,17.94533175,-5.169900049,-4.694428351,-5.645371747,0.423231885,1.434790131
10350,18.36445383,18.83992553,17.88898213,-5.35883283,-4.883361132,-5.834304528,0.342930071,1.069921571
10400,18.29349024,18.76896194,17.81801854,-5.511471936,-5.036000238,-5.986943634,0.223063542,0.74069146
10450,18.21329924,18.68877094,17.73782754,-5.658109438,-5.18263774,-6.133581136,0.133598684,0.572516551
10500,18.1386574,18.6141291,17.6631857,-5.752889054,-5.277417356,-6.228360752,0.068406182,0.615127062
10550,18.09399846,18.56947016,17.61852676,-5.757511646,-5.282039948,-6.232983344,0.077491533,0.875210352
10600,18.05024102,18.52571272,17.57476932,-5.730947049,-5.255475351,-6.206418747,0.046949523,1.070212195
10650,18.03094665,18.50641835,17.55547495,-5.688685946,-5.213214248,-6.164157644,0.045283329,1.261473307
10700,18.02379042,18.49926212,17.54831872,-5.664582658,-5.18911096,-6.140054356,0.110464909,1.442209783
10750,18.04035705,18.51582875,17.56488535,-5.643083553,-5.167611855,-6.118555251,0.235060964,1.548323935
10800,18.06817843,18.54365013,17.59270673,-5.641926599,-5.166454901,-6.117398297,0.303042923,1.735087909
10850,18.08651044,18.56198214,17.61103874,-5.676674454,-5.201202756,-6.152146152,0.395330291,1.925542703
10900,18.08844413,18.56391583,17.61297243,-5.724291465,-5.248819767,-6.199763163,0.422327876,2.011217864
10950,18.07669818,18.55216988,17.60122648,-5.859072709,-5.383601011,-6.334544407,0.438252713,1.881294077
11000,18.00142431,18.47689601,17.52595261,-6.130788389,-5.655316691,-6.606260087,0.337721853,1.559861604
11050,17.89050703,18.36597873,17.41503533,-6.295234171,-5.819762473,-6.770705869,0.225499602,1.562904038
11100,17.75286588,18.22833758,17.27739418,-6.609434978,-6.13396328,-7.084906676,0.101559012,1.232977558
11150,17.62585443,18.10132613,17.15038273,-6.955934562,-6.480462864,-7.43140626,0.037136166,0.831526869
11200,17.52426483,17.99973653,17.04879313,-7.193821473,-6.718349775,-7.669293171,0.08411342,0.694378101
11250,17.42392026,17.89939196,16.94844856,-7.406896501,-6.931424803,-7.882368199,0.167401941,0.657385055
11300,17.33732591,17.81279761,16.86185421,-7.555494832,-7.080023134,-8.03096653,0.293320292,0.782622172
11350,17.27211038,17.74758208,16.79663868,-7.634486566,-7.159014868,-8.109958264,0.446150994,1.080975064
11400,17.21392347,17.68939517,16.73845177,-7.717629135,-7.242157437,-8.193100833,0.343007465,0.966139967
11450,17.1484921,17.6239638,16.6730204,-7.824369236,-7.348897538,-8.299840934,0.467807627,1.16574487
11500,17.04862914,17.52410084,16.57315744,-7.96460548,-7.489133782,-8.440077178,0.601099775,1.299201044
11550,16.95201677,17.42748847,16.47654507,-8.099766295,-7.624294597,-8.575237993,0.729076648,1.430582531
11600,16.85195565,17.32742735,16.37648395,-8.22710518,-7.751633482,-8.702576878,0.772984431,1.553515701
11650,16.73145092,17.20692262,16.25597922,-8.478670226,-8.003198528,-8.954141924,0.708609662,1.412758445
11700,16.63357491,17.10904661,16.15810321,-8.591854107,-8.116382409,-9.067325805,0.683456172,1.367591031
11750,16.57194259,17.04741429,16.09647089,-8.549526195,-8.074054497,-9.024997893,0.791802868,1.872701061
11800,16.51371348,16.98918518,16.03824178,-8.516985282,-8.041513584,-8.99245698,0.924448078,2.41928484
11850,16.45548438,16.93095608,15.98001268,-8.484444369,-8.008972671,-8.959916067,1.053005762,2.978468846
11900,16.42437048,16.89984218,15.94889878,-8.401950417,-7.926478719,-8.877422115,1.10986244,3.583517304
11950,16.35583059,16.83130229,15.88035889,-8.55734679,-8.081875092,-9.032818488,1.114060733,3.702311843
12000,16.2782877,16.7537594,15.802816,-8.780706178,-8.30523448,-9.256177876,1.109356756,3.556395655
12050,16.19743459,16.67290629,15.72196289,-9.021836217,-8.546364519,-9.497307915,1.132056513,3.258169586
12100,16.11067791,16.58614961,15.63520621,-9.294938575,-8.819466877,-9.770410273,1.351130759,2.88674112
12150,16.03480932,16.51028102,15.55933762,-9.51034489,-9.034873192,-9.985816588,1.65749888,2.676074141
12200,15.97429697,16.44976867,15.49882527,-9.704190317,-9.228718619,-10.17966202,1.821097231,2.638971061
12250,16.03046416,16.50593586,15.55499246,-9.721535844,-9.246064146,-10.19700754,2.001104493,2.986979323
12300,15.97340459,16.44887629,15.49793289,-9.941354944,-9.465883246,-10.41682664,1.888419531,3.032008774
12350,15.81789615,16.29336785,15.34242445,-10.32298464,-9.847512942,-10.79845634,1.553921774,1.888525877
12400,15.50891042,15.98438212,15.03343872,-10.73951814,-10.26404644,-11.21498984,0.942241159,1.310556127
12450,15.39489482,15.87036652,14.91942312,-10.87777113,-10.40229943,-11.35324283,0.72640943,1.278774508
12500,15.31397394,15.78944564,14.83850224,-11.00105202,-10.52558032,-11.47652372,0.822472942,1.434236253
