Age,LakeElev.cm.below.mod,UpperBound,LowerBound,Lake_Level_Below_Modern
14450,-282.6442947,-107.8069117,-457.4816777,282.6442947
14500,-345.4219546,-155.8562849,-534.9876243,345.4219546
14550,-501.7933356,-275.9498225,-727.6368488,501.7933356
14600,-674.1003578,-408.1312054,-940.0695103,674.1003578
14650,-737.8163422,-456.3690858,-1019.263599,737.8163422
14700,-614.1559293,-360.4701981,-867.8416605,614.1559293
14750,-395.7912996,-192.3290721,-599.2535272,395.7912996
14800,-223.760147,-60.13029988,-387.389994,223.760147
14850,-145.3544686,0,-290.7089372,145.3544686
14900,-145.5216559,0,-291.0433118,145.5216559
14950,-145.6881073,0,-291.3762146,145.6881073
