,AbsDepth,Adjust.Depth,Section,Bottom.increment.cm,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,LOI
648,1247,662,8,68,1247,12907.95,14214.25,14914,15612.5,17526.7,5.017219113
649,1248,663,8,69,1248,12913.95,14220.75,14926.5,15652.5,17574.75,5.016745606
650,1249,664,8,70,1249,12933.55,14241,14952,15687.5,17616.7,5.126424364
651,1250,665,8,71,1250,12937.575,14258.25,14963.5,15722,17656.875,5.090085399
652,1251,666,8,72,1251,12940.625,14274.25,14981.5,15739.25,17718.1,4.978890031
653,1252,667,8,73,1252,12943.675,14298.25,14998.5,15758.5,17744,5.180562778
654,1253,668,8,74,1253,12968.45,14308.5,15019.5,15783.25,17785.05,4.736512749
655,1254,669,8,75,1254,12972.45,14328.25,15039.5,15817.75,17825.125,4.666879731
656,1255,670,8,76,1255,12976.425,14335.75,15058,15837.25,17870.1,4.643062401
657,1256,671,8,77,1256,12980.4,14351.75,15065,15867.25,17880.9,4.679327125
658,1257,672,8,78,1257,12985.35,14363,15103.5,15880.5,17936.625,4.871594236
659,1258,673,8,79,1258,12996.925,14380.5,15115,15924.5,17958.175,4.867874688
660,1259,674,8,80,1259,13008.75,14397.5,15125.5,15941.75,17996.075,4.876078696
661,1260,675,8,81,1260,13019.6,14416.25,15157,15972.75,18046,4.562609443
662,1261,676,8,82,1261,13031.975,14430.75,15174.5,16005.5,18096.175,4.75577864
663,1262,677,8,83,1262,13035.975,14449.75,15190,16027.25,18129.325,4.771552198
664,1263,678,8,84,1263,13052.775,14466.75,15210.5,16043,18146.35,4.713751465
665,1264,679,8,85,1264,13063.875,14491.25,15221.5,16079.25,18162.4,4.68844306
666,1265,680,8,86,1265,13075.925,14514,15236,16088.25,18179.425,4.784430699
667,1266,681,8,87,1266,13085,14528,15257,16100.25,18196.375,4.714534641
668,1267,682,8,88,1267,13087.975,14549.75,15269,16112.5,18213.2,4.558890525
669,1268,683,8,89,1268,13089.975,14562.75,15285.5,16148.25,18229.05,4.608998778
670,1269,684,8,90,1269,13091.975,14568.75,15310,16168.5,18241.125,4.54159838
671,1270,685,8,91,1270,13093.975,14590.5,15338.5,16189.5,18263.475,4.365703889
672,1271,686,8,92,1271,13095.975,14603.25,15355.5,16219.25,18280.45,4.003763139
673,1272,687,8,93,1272,13112.625,14620,15371.5,16250,18322.6,4.214998013
674,1273,688,8,94,1273,13131.2,14627,15387.5,16263.75,18340.325,4.432807265
675,1274,689,8,95,1274,13138.075,14633,15408,16274.5,18358.05,4.236940608
676,1275,690,8,96,1275,13145.075,14643.75,15425,16287.75,18371.125,4.092611063
677,1276,691,8,97,1276,13161.75,14656.5,15450,16315.25,18391.075,4.201440177
678,1277,692,8,98,1277,13183.375,14672.5,15468.5,16335.25,18422.35,4.375558222
679,1278,693,8,99,1278,13189.4,14682.75,15479.5,16351,18475.05,4.203134962
680,1279,694,8,100,1279,13196.375,14698,15492.5,16378,18481.425,4.218899297
681,1280,695,8,101,1280,13203.375,14714.75,15512.5,16398.25,18508.275,4.179321117
682,1281,696,8,102,1281,13210.375,14734.75,15531,16442.5,18539.025,4.305334495
683,1282,697,8,103,1282,13217.35,14755.5,15563.5,16479,18560.325,4.076520518
684,1283,698,8,1,1283,13223.375,14772.25,15602.5,16492.25,18614,9.662778862
685,1284,699,9,2,1284,13230.375,14787.25,15627,16524.75,18640.375,5.542082821
686,1285,700,9,3,1285,13237.35,14800.5,15656.5,16544.25,18696.55,6.0888548
687,1286,701,9,4,1286,13241.425,14817,15674,16554.5,18743.475,5.84872414
688,1287,702,9,5,1287,13244.525,14825.5,15693,16595.5,18768.4,4.353397774
689,1288,703,9,6,1288,13247.6,14839,15725.5,16616.75,18792.225,4.446475138
690,1289,704,9,7,1289,13250.7,14861.75,15734.5,16637.75,18857.425,4.284688863
691,1290,705,9,8,1290,13253.8,14873.25,15753,16655,18874.1,4.208644144
692,1291,706,9,9,1291,13255.9,14892.75,15783,16687,18882.225,4.235989689
693,1292,707,9,10,1292,13259,14909,15797.5,16700,18907,4.291148438
694,1293,708,9,11,1293,13265.925,14926.75,15818.5,16731,18921.075,4.276786523
695,1294,709,9,12,1294,13271.85,14937.25,15853,16752.25,18936.125,4.133274162
696,1295,710,9,13,1295,13278.775,14963,15873,16791.25,18960.95,4.173067372
697,1296,711,9,14,1296,13283.725,14972.75,15889,16820.25,18992.225,4.240181185
698,1297,712,9,15,1297,13285.75,14985.75,15915.5,16841.5,19075.15,4.199641428
699,1298,713,9,16,1298,13288.75,15005,15948.5,16869.25,19094.7,3.98886321
700,1299,714,9,17,1299,13291.75,15027.75,15957,16901.75,19113.3,3.991847804
701,1300,715,9,18,1300,13311.575,15042.5,15978.5,16917.25,19132.125,3.88895233
702,1301,716,9,19,1301,13318.475,15060.75,15985.5,16929,19159.675,4.084628915
703,1302,717,9,20,1302,13324.375,15079.25,16012,16956.25,19194.025,4.048249808
704,1303,718,9,21,1303,13327.375,15098,16029,16990.25,19231.95,4.281090719
705,1304,719,9,22,1304,13331.35,15118.75,16057.5,17006.5,19267.425,4.189368587
706,1305,720,9,23,1305,13335.325,15145.5,16078,17049.25,19301.9,4.219528411
707,1306,721,9,24,1306,13339.3,15168,16099.5,17077.5,19336.375,4.34716778
708,1307,722,9,25,1307,13343.275,15180.5,16113,17090.5,19371.825,4.213294375
709,1308,723,9,26,1308,13347.3,15188.75,16127.5,17110.5,19418.35,4.230669344
710,1309,724,9,27,1309,13350.375,15203.75,16169,17125.5,19441.85,4.158801473
711,1310,725,9,28,1310,13354.4,15217.75,16201.5,17141.5,19476.275,3.910217262
712,1311,726,9,29,1311,13358.45,15231.75,16232,17175.25,19498.35,4.018032891
713,1312,727,9,30,1312,13362.475,15256.5,16244.5,17205,19509.9,4.263707431
714,1313,728,9,31,1313,13366.5,15265.75,16261,17227,19551.075,4.087676413
715,1314,729,9,32,1314,13370.55,15276.75,16282,17261.5,19558.15,3.853554488
716,1315,730,9,33,1315,13373.925,15292.5,16300.5,17293,19573.725,3.864194608
717,1316,731,9,34,1316,13388.725,15309,16323.5,17320.25,19591.525,3.835482385
718,1317,732,9,35,1317,13407.35,15332.25,16345,17340.75,19674.9,4.086910548
719,1318,733,9,36,1318,13425,15345.5,16369,17370.75,19699.6,4.023379281
720,1319,734,9,37,1319,13442.65,15374.25,16392.5,17383.25,19723.15,4.029872079
721,1320,735,9,38,1320,13446.575,15394.75,16410.5,17418.5,19745.7,3.967434376
722,1321,736,9,39,1321,13453.875,15412.5,16430,17437,19769.25,3.980639927
723,1322,737,9,40,1322,13457.825,15423,16462.5,17468.5,19785.2,3.965014951
724,1323,738,9,41,1323,13461.75,15437.5,16484.5,17493.5,19798.025,3.915763108
725,1324,739,9,42,1324,13465.7,15445,16498.5,17517.5,19808.35,4.190500806
726,1325,740,9,43,1325,13469.65,15466.75,16524,17535.75,19836.675,3.849547361
727,1326,741,9,44,1326,13473.6,15477.5,16536,17553.25,19873.35,3.904677703
728,1327,742,9,45,1327,13477.55,15493.75,16552,17582.75,19886.625,3.806531542
729,1328,743,9,46,1328,13481.475,15519.25,16572,17606.5,19934.925,3.843142041
730,1329,744,9,47,1329,13485.425,15549.25,16584,17619,19958.95,3.72276606
731,1330,745,9,48,1330,13489.375,15560.25,16600.5,17638.25,20012.2,3.175833096
732,1331,746,9,49,1331,13493.325,15576.5,16615.5,17660,20064.375,3.682334974
733,1332,747,9,50,1332,13497.275,15604.75,16642,17675.25,20093.225,3.817717243
734,1333,748,9,51,1333,13501.2,15620.75,16660,17690.75,20124.475,4.728131145
735,1334,749,9,52,1334,13506.125,15633,16673,17711,20178.075,4.002228958
